epoch,train/box_loss,train/cls_loss,train/dfl_loss,val/box_loss,val/cls_loss,val/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),lr/pg0,lr/pg1,lr/pg2
154,0.52022,0.43129,1.02995,0.32841,0.29617,0.8761,0.93293,0.919,0.96564,0.91335,0.0024265,0.0024265,0.0024265
155,0.51512,0.42908,1.0243,0.32707,0.29675,0.87483,0.93505,0.91739,0.96581,0.91367,0.002377,0.002377,0.002377
156,0.51416,0.41834,1.02233,0.32585,0.29693,0.87391,0.94727,0.90508,0.96589,0.91372,0.0023275,0.0023275,0.0023275
157,0.51507,0.41791,1.02198,0.32493,0.29779,0.8737,0.95462,0.90146,0.96576,0.91342,0.002278,0.002278,0.002278
158,0.5163,0.42846,1.02492,0.32562,0.29864,0.87482,0.95293,0.90216,0.96581,0.91482,0.0022285,0.0022285,0.0022285
159,0.51214,0.41912,1.02239,0.32516,0.29804,0.87464,0.94886,0.90594,0.9658,0.91381,0.002179,0.002179,0.002179
160,0.50836,0.41986,1.02128,0.32615,0.29816,0.87567,0.95084,0.90388,0.96597,0.9139,0.0021295,0.0021295,0.0021295
161,0.51391,0.41443,1.02275,0.32504,0.29682,0.87458,0.94856,0.90435,0.96592,0.91424,0.00208,0.00208,0.00208
162,0.50793,0.41513,1.02208,0.32453,0.29717,0.87432,0.94631,0.90609,0.96549,0.91411,0.0020305,0.0020305,0.0020305
163,0.50209,0.40969,1.01612,0.32498,0.29663,0.87474,0.93446,0.9169,0.96535,0.91371,0.001981,0.001981,0.001981
164,0.50599,0.41267,1.0189,0.3242,0.29604,0.87404,0.9331,0.91764,0.96525,0.91359,0.0019315,0.0019315,0.0019315
165,0.50412,0.40702,1.01849,0.325,0.2968,0.87498,0.9324,0.91915,0.96526,0.91355,0.001882,0.001882,0.001882
166,0.49758,0.40732,1.0173,0.32452,0.29527,0.87497,0.93228,0.91963,0.96573,0.91406,0.0018325,0.0018325,0.0018325
